21 68
0 12 238
9 8 163
11 13 164
12 5 8
14 1 92
13 7 121
11 0 46
7 2 39
6 12 170
3 0 173
8 11 54
12 11 238
10 4 89
1 6 193
10 8 225
14 13 163
5 13 2
5 11 155
1 10 108
10 12 99
2 8 136
8 1 60
12 13 7
13 5 57
0 4 114
14 0 186
1 4 75
11 6 22
10 13 205
12 4 217
2 10 74
12 14 152
2 11 79
11 10 191
9 4 18
7 0 161
1 9 99
7 3 235
12 10 79
13 14 21
14 5 10
4 10 239
3 6 16
0 1 166
2 5 2
7 9 153
14 9 205
19 15 8
15 8 37
15 14 36
15 12 201
2 20 84
19 16 155
16 13 151
16 14 167
16 12 101
3 20 202
19 17 157
17 0 108
17 9 143
17 7 66
17 12 201
19 18 34
18 4 94
18 13 134
18 12 23
18 11 161
5 20 53
