28 156
9 8 396
6 4 55
19 8 315
22 8 106
6 17 127
19 17 219
13 15 47
11 12 391
14 6 113
13 6 386
7 14 222
4 7 156
7 17 26
2 15 434
9 4 405
12 0 136
21 14 135
11 21 502
7 8 263
21 17 532
3 21 273
9 21 416
7 19 461
20 4 498
0 2 161
12 19 203
12 5 408
5 13 528
8 11 505
4 21 304
4 17 19
22 3 387
14 15 368
15 11 207
13 3 406
1 0 21
13 9 506
22 6 154
10 20 182
7 21 3
22 11 139
19 18 243
5 0 284
9 19 92
3 1 312
11 20 231
6 10 128
13 20 521
9 1 346
16 10 404
22 21 420
12 3 285
0 15 227
18 12 458
7 5 336
0 20 260
18 1 354
21 8 350
19 20 347
0 8 114
18 5 165
9 15 301
19 12 202
1 13 320
19 14 362
8 2 68
19 3 246
19 11 288
5 18 384
15 5 202
22 14 3
13 10 405
16 19 461
14 16 462
17 19 526
4 9 503
20 0 312
17 16 458
20 19 539
2 18 461
3 17 300
21 19 521
9 0 53
8 5 388
0 19 317
11 10 139
12 4 227
10 15 245
7 18 75
15 3 251
22 0 243
8 19 23
3 14 540
22 4 232
14 7 474
17 5 443
12 6 271
9 14 325
20 3 304
0 16 462
7 12 168
3 4 173
20 2 376
20 10 89
12 16 88
4 16 15
21 18 537
5 8 506
6 22 342
18 20 506
14 19 71
17 3 3
21 13 347
1 14 53
10 2 174
7 11 436
19 5 89
1 9 412
4 3 406
5 3 464
21 20 484
22 19 24
18 0 527
0 9 243
9 16 210
1 15 62
10 19 134
2 14 368
19 0 240
6 14 320
3 6 450
20 9 451
1 19 25
7 15 261
14 9 439
15 6 217
26 23 28
23 5 499
23 20 430
23 18 300
23 19 261
23 21 32
9 27 295
26 24 212
24 4 232
24 16 381
24 22 258
12 27 398
26 25 146
25 1 84
25 14 142
25 12 42
25 11 202
25 20 207
25 4 287
10 27 547
